FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
56651,39956,489,226,193,205,119356,70956,342,192,257,251,44,45248
7564,1538,57,261,435,0,31294,5737,79,147,428,0,25,45250
25771,1878,5367,618,261,270,63707,4196,6081,550,88,189,28,45255
22592,1834,5019,459,492,219,56317,3881,6420,357,391,254,46,45255
5352,19076,156,95,237,43,23410,44685,314,56,29,56,19,45260
14792,1882,177,83,280,0,42922,4783,164,85,133,0,30,45272
5984,1478,76,129,304,143,34233,8439,0,0,217,53,14,45272
24371,1910,0,119,417,159,64632,4844,105,70,266,107,28,45272
19604,7847,452,175,552,49,48249,17923,319,168,293,115,43,45273
23450,1350,4317,235,241,74,58815,2603,4736,219,361,218,41,45275
30642,1794,6113,439,153,240,83062,3723,6703,400,151,198,29,45277
10352,2931,141,231,345,186,33413,7614,82,206,156,239,19,45279
9192,1047,0,201,412,83,47038,2989,0,156,198,24,16,45281
29739,3470,0,69,108,146,43529,4063,437,67,145,191,84,45281
123790,135766,675,235,576,223,86143,71663,452,194,347,278,108,45282
34374,1869,5108,359,523,156,87126,2510,5827,300,206,120,39,45283
61871,4817,10657,439,280,41,115366,4474,11804,641,411,373,101,45284
8389,3712,236,178,190,350,27253,9163,316,127,0,217,21,45286
11820,1730,57,120,447,250,38434,5696,185,72,239,211,29,45291
57161,4059,76,432,588,365,110087,6181,321,318,376,231,53,45292
5307,1392,146,166,427,277,20129,5859,156,33,307,164,19,45293
25072,2832,0,143,487,0,50066,3099,444,163,255,372,66,45294
20737,5245,1048,405,676,504,40822,7763,871,217,303,612,44,45297
4452,1270,0,133,286,71,26532,5822,0,36,11,0,12,45297
6998,4699,252,52,505,173,18912,6519,379,20,246,52,35,45297
7652,3571,212,172,390,200,26849,9492,198,79,309,304,19,45297
2829,1683,81,213,283,71,11192,6303,201,112,39,0,16,45297
67932,4496,363,246,429,53,139129,6682,493,116,330,217,53,45298
3914,2091,0,0,240,229,10239,6603,117,0,192,267,36,45302
28238,5672,11590,412,267,146,48912,8168,10851,438,328,336,53,45302
37715,8140,421,411,943,182,103300,16621,293,241,992,266,29,45302
42784,1536,6787,382,297,0,101804,2708,7132,313,274,0,53,45306
13318,2153,118,278,274,268,37942,5526,308,169,137,162,25,45307
37990,3096,600,219,657,377,70344,4123,463,147,470,304,60,45308
8491,4096,0,96,345,432,25481,8924,140,61,230,427,33,45309
78662,6317,0,402,268,29,148012,11436,608,185,147,150,87,45310
10182,6246,322,332,328,141,16327,10083,555,159,213,340,47,45311
24149,1603,0,0,207,326,49975,2760,490,95,179,280,91,45311
38845,3731,422,320,693,522,87002,5886,296,185,320,364,46,45312
60865,3786,110,0,177,0,133256,6476,473,0,329,61,52,45313
39910,1860,10494,772,745,279,105568,3865,11201,736,498,228,44,45313
8820,3005,41,179,328,264,22634,11461,310,89,124,390,25,45313
64745,4399,504,0,346,0,111096,6748,572,139,313,407,118,45318
5355,4083,242,123,213,329,16936,13039,190,20,123,329,23,45319
